Age,Gender,Location,Income Level,Financial Literacy,FinTech Product,Usage Frequency,Preferred Service Channel,Adoption Reason,Competitor,Transaction Fees (NGN),Loan Interest Rate (%),Subscription Fee (NGN),Digital Currency Usage,AI Financial Tool Usage,FinTech Satisfaction
56,Male,Ibadan,Middle,Novice,Micro-Lending,Weekly,Web Platform,Security,PalmPay,1.29,4.22,500,No,Yes,5
46,Female,Lagos,Low,Expert,Mobile Banking App,Weekly,USSD,Low Fees,Paga,2.58,14.15,2000,No,No,9
32,Male,Abuja,Low,Intermediate,Blockchain Services,Daily,Agent Banking,Speed,FairMoney,3.03,10.33,1000,No,No,8
60,Male,Ibadan,Low,Expert,Micro-Lending,Daily,Web Platform,Speed,Kuda,3.94,14.88,500,No,Yes,7
25,Male,Ibadan,Low,Intermediate,Digital Payments,Monthly,Agent Banking,Convenience,PalmPay,2.07,17.12,0,No,No,6
38,Male,Port Harcourt,Low,Novice,Blockchain Services,Weekly,Web Platform,Convenience,PalmPay,1.16,3.19,500,No,No,4
56,Male,Enugu,High,Expert,Digital Payments,Monthly,Web Platform,Speed,Carbon,0.92,13.84,2000,No,No,7
36,Female,Kano,Middle,Expert,Blockchain Services,Weekly,Agent Banking,Low Fees,PalmPay,1.01,4.34,2000,No,No,7
40,Female,Port Harcourt,Middle,Expert,Micro-Lending,Weekly,Web Platform,Low Fees,Opay,4.78,9.13,1000,No,No,1
28,Male,Kaduna,Low,Novice,Mobile Banking App,Rarely,Agent Banking,Security,Opay,4.78,2.72,2000,Yes,No,9
28,Male,Abuja,Low,Intermediate,Blockchain Services,Daily,Mobile App,Convenience,Kuda,4.86,8.25,2000,No,No,4
41,Male,Enugu,Low,Novice,Investment Platforms,Weekly,USSD,Convenience,PalmPay,1.86,5.46,0,No,No,7
53,Female,Ibadan,Middle,Novice,Digital Payments,Daily,Web Platform,Convenience,Carbon,1.36,12.23,2000,No,No,9
57,Female,Port Harcourt,Middle,Intermediate,Blockchain Services,Weekly,Agent Banking,Security,FairMoney,4.91,11.46,500,No,No,2
41,Male,Enugu,Low,Expert,Digital Payments,Daily,Agent Banking,Low Fees,Kuda,4.95,16.38,2000,No,Yes,8
20,Male,Kaduna,Middle,Intermediate,Mobile Banking App,Daily,USSD,Convenience,Paga,0.85,13.7,0,No,No,4
